size;time1;time2;time3;time4;time5;time6;time7;time8;time9;time10
56502;38462;39459;40054;40133;40017;39604;38492;38312;41896;39004
57655;40130;40322;40480;40155;40184;40176;40349;41404;41823;41818
58831;43309;43499;43462;42295;41695;41570;41558;42027;43548;44373
60031;41072;60527;46109;48326;43739;43043;43700;46508;47104;43267
61256;43963;46148;45088;45315;43636;47632;46053;45729;46682;52004
62506;49776;47047;47864;47218;47058;49947;49218;47340;50135;46240
63781;49532;47701;48603;48037;48698;54787;51926;48550;52208;53050
65082;56658;57390;54128;50644;51248;53571;51458;55453;57526;56347
66410;55375;54092;52307;54534;55329;56817;62920;55947;56421;56617
67765;61018;60489;64214;61693;60101;64038;57406;58057;61964;66076
69147;73447;71789;73486;63410;66073;69638;62733;69264;70969;65248
70558;72930;68489;60278;58474;57044;58402;57707;57251;59521;59752
71997;59264;61480;61559;61449;62021;61372;62012;60988;60652;61858
73466;64764;63684;61177;65723;66656;66791;67475;67160;66403;66150
74965;69147;67871;67206;66660;67263;71154;67349;71169;69309;67837
76494;71422;71141;87763;75546;67755;72186;75038;71448;67647;67998
78055;74345;74772;74754;74736;75023;73237;76051;71085;72259;71886
79647;75246;75472;75142;75035;75055;75051;75884;79172;84308;75788
81272;78827;80296;82315;81817;81441;81668;81571;82193;81718;78662
82930;80464;77302;81405;81595;81967;81669;81526;77936;86219;81559
84622;82625;87611;83590;84513;79500;82091;87580;97362;89203;88089
86348;86261;93383;97974;93083;116029;94289;94113;93194;87630;95999
88110;92067;105067;96692;99901;100715;92079;92339;95647;95006;90468
89908;95439;98672;104748;109257;105610;105541;102185;96565;97236;91680
91742;97348;100371;101766;95699;97369;102302;101671;98561;104597;107845
93614;99700;106703;111113;110849;102935;100027;100218;110524;110112;99850
95524;107005;110089;110843;110587;111021;109991;109492;109595;109458;109293
97473;114295;113855;113763;114576;113193;113348;112787;111959;114223;109842
99462;125365;125970;120077;121359;121669;121699;121451;117598;114289;105788
